speechiness,loudness,danceability,energy,acousticness,target
1350,-9638,626,486,25300000,1
483,-5986,668,645,1310000,1
1410,-6778,761,781,6810000,1
328,-5958,184,644,46800000,1
440,-5189,343,732,533000,1
446,-8318,600,510,16000000,1
431,-4040,433,959,91700,1
360,-8475,732,408,74700000,1
320,-7480,570,688,30800000,1
336,-5110,489,649,60300,1
1110,-7397,592,583,18900000,1
375,-6015,395,727,28200000,1
400,-12800,618,215,75900000,1
1770,-5855,439,971,1480000,1
480,-9585,559,460,85600000,1
390,-17834,206,99.9,98200000,1
351,-9255,733,689,4250000,1
399,-11783,390,694,299000,1
303,-5857,487,785,9350,1
475,-5670,593,749,1130000,1
384,-8604,775,863,10200000,1
538,-6954,847,946,101000,1
2610,-9635,633,551,58000000,1
870,-9036,439,882,54100000,1
318,-8276,427,666,2110000,1
740,-6104,293,917,1280,1
410,-6547,700,740,15200000,1
676,-4391,609,880,61000,1
2280,-3369,603,946,33500,1
539,-2626,513,953,1460000,1
292,-7300,653,722,5710000,1
529,-11810,500,451,67400000,1
412,-12255,623,622,168000,1
347,-10966,561,209,89300000,1
343,-5682,637,717,2020000,1
3070,-13350,482,368,34400000,1
414,-7196,306,540,62500000,1
267,-5401,712,710,2770000,1
316,-7071,494,696,15000000,1
2780,-5070,613,962,3400000,1
366,-8200,616,784,6570,1
302,-5325,548,865,171000,1
552,-6554,559,674,681000,1
319,-5497,593,804,10500000,1
312,-17638,401,130,98900000,1
377,-8821,277,663,40900,1
459,-3369,385,949,501000,1
362,-13249,706,316,67900000,1
1030,-5015,364,805,468000,1
514,-12939,275,418,86300000,1
269,-5256,576,751,1250000,1
247,-7144,534,623,66800000,1
327,-11569,594,273,74100000,1
422,-10435,140,641,24300,1
347,-6219,699,670,1470000,1
511,-6198,443,956,5240,1
439,-3886,679,804,8570000,1
502,-4870,552,909,5790,1
386,-7079,323,672,26900000,1
537,-2427,264,800,1950000,1
392,-5559,372,910,101000,1
5150,-11965,619,450,43300000,1
1740,-11856,518,729,46900000,1
369,-9556,472,630,131000,1
617,-7338,562,961,486000,1
692,-5959,432,661,717000,1
713,-7839,521,915,1320000,1
368,-5505,381,502,16000000,1
310,-7495,441,684,37400000,1
514,-3470,594,851,881000,1
352,-6619,496,469,36600000,1
482,-6475,616,902,26700,1
375,-24389,90.6,81.7,96900000,1
525,-4489,551,819,1030000,1
539,-9618,780,990,14400000,1
624,-6237,438,805,255000,1
494,-7853,431,777,20700,1
495,-7378,634,747,33600000,1
1080,-3578,587,947,9000000,1
278,-6390,484,862,610000,1
767,-6038,414,949,49800,1
432,-8924,360,679,531000,1
847,-10180,810,835,36500000,1
2900,-3378,274,984,155000,1
321,-7445,606,679,1510000,1
473,-16375,278,212,88300000,1
621,-5122,495,868,12400000,1
309,-9240,623,614,63800000,1
2660,-8001,801,846,7220000,1
388,-10294,653,668,10600000,1
540,-5653,542,905,172000,1
320,-7064,363,683,1180000,1
1710,-2855,266,946,781000,1
370,-6828,520,807,1290000,1
815,-10024,705,804,18100000,1
2490,-4953,823,844,8680000,1
1650,-6383,818,639,1720000,1
347,-13743,729,356,9160000,1
1130,-9210,836,459,19000000,1
381,-2776,463,836,41800,1
436,-10133,667,510,17600000,1
719,-4174,381,886,2580,1
303,-7968,631,523,45400000,1
304,-15474,562,383,14300000,1
642,-4506,339,725,1210000,1
459,-7227,835,523,536000,1
3720,-10936,531,546,26000000,1
1320,-4838,468,902,3250000,1
446,-5578,741,717,1600000,1
569,-8552,787,422,28700000,1
415,-7289,679,769,15800000,1
423,-4698,446,902,966000,1
644,-3994,516,948,2790000,1
378,-5576,471,877,1930000,1
339,-8281,479,865,3100,1
293,-4807,649,888,1300000,1
1800,-8907,812,616,4400000,1
954,-8270,523,854,47800000,1
315,-8354,693,875,971000,1
489,-6025,531,943,50000000,1
563,-5201,390,830,210000,1
515,-7349,415,790,1920000,1
421,-5590,240,864,11900,1
