speechiness,loudness,danceability,energy,acousticness,target
893,-7372,731,6930,60300000,3
2010,-9338,836,5950,14100000,3
5150,-13165,764,5080,34700,3
1390,-4505,881,8740,1750000,3
3780,-6579,769,7400,19700000,3
2200,-9995,894,5300,12100000,3
4040,-4666,858,6250,22500000,3
3500,-14123,651,3950,28400000,3
1890,-4827,782,5890,14800000,3
2590,-7172,662,6330,13400000,3
2660,-10401,804,5820,43900000,3
402,-8134,808,4450,46700000,3
3330,-7368,423,5730,11600000,3
5020,-6995,957,5150,235000,3
1110,-5242,759,7100,25900000,3
3630,-8225,810,7500,2980000,3
1890,-4827,782,5890,14800000,3
2860,-5623,550,8790,2960000,3
2220,-12625,775,6040,2520000,3
285,-14280,638,3530,69400000,3
2710,-6257,692,7080,1430000,3
2930,-8375,928,5280,1900000,3
2020,-6445,744,8030,2590000,3
3460,-8827,831,6360,38900000,3
3320,-8193,870,5480,3040000,3
3600,-7128,830,7250,5500000,3
2090,-8066,752,5630,14600000,3
1360,-8899,823,6110,12700000,3
2280,-6081,412,8350,14000000,3
584,-6851,732,6650,11700000,3
3660,-4468,627,6810,8810000,3
2230,-9511,789,5820,40600000,3
3750,-8424,494,6470,1900000,3
2110,-7232,939,6750,9150000,3
4490,-7915,843,7620,14300000,3
1100,-9094,557,4980,40600000,3
661,-5882,895,4690,120000,3
2820,-6128,885,4660,3960000,3
461,-6371,770,5800,1360000,3
1020,-5810,847,6290,3180000,3
3090,-4707,934,8730,488000,3
3920,-14029,766,3850,24900000,3
286,-3541,762,7010,23500000,3
2250,-4433,607,7040,2140000,3
451,-8448,579,6690,39400000,3
3300,-8435,914,5860,203000,3
3580,-5053,582,8460,21500000,3
1200,-5782,669,6870,900000,3
2530,-3180,920,8330,2770000,3
540,-6588,598,6830,1520000,3
2950,-7684,689,6200,159000,3
2960,-9673,890,7160,17400000,3
2880,-8357,821,6400,6980000,3
929,-3704,763,8400,3460000,3
489,-6060,748,4110,5320000,3
1060,-5525,770,5740,6170000,3
3650,-12194,841,5350,8110000,3
2220,-3944,834,8880,308000,3
300,-10277,700,3730,17400000,3
2870,-5160,571,7670,33600000,3
1210,-5616,584,8590,1440000,3
3330,-8742,584,5610,1210000,3
891,-8360,774,5020,59800000,3
3090,-4707,934,8730,488000,3
1720,-5993,842,5450,62500000,3
664,-2261,727,9740,10300000,3
9370,-19061,745,1020,98200000,3
1780,-18273,787,6230,19000000,3
4740,-8393,529,5930,5980000,3
4100,-5549,630,4910,76600000,3
2010,-7430,701,5400,55000000,3
381,-7784,601,8930,839000,3
2770,-7452,901,6560,8070000,3
347,-10071,212,3830,72300000,3
5070,-8922,843,5350,40300000,3
1700,-8458,965,8570,131000,3
