speechiness,loudness,danceability,target
3320,-4848,629,3
583,-3513,836,3
539,-7636,907,3
3470,-5196,842,3
3900,-12064,663,3
3950,-8273,734,3
2810,-7619,894,3
2760,-7127,543,3
461,-7327,664,3
1480,-7332,858,3
2640,-6345,812,3
2010,-5139,850,3
2640,-5507,674,3
1670,-5215,735,3
2130,-8301,448,3
3680,-5019,897,3
2460,-5718,648,3
1390,-7679,825,3
2790,-4384,797,3
1730,-6016,762,3
1320,-6362,924,3
380,-5043,617,3
647,-7855,770,3
3420,-5260,808,3
3680,-6492,760,3
3070,-7131,860,3
461,-7327,664,3
3570,-8043,883,3
1770,-7346,613,3
1580,-4928,600,3
2640,-4616,686,3
1200,-6965,613,3
1940,-4077,586,3
4240,-11618,530,3
4810,-4857,566,3
3020,-7392,642,3
3310,-9790,506,3
2810,-10896,831,3
738,-1597,555,3
1260,-5849,594,3
3600,-4391,886,3
1740,-9785,817,3
4000,-6483,806,3
1870,-10297,551,3
2040,-7408,469,3
3180,-7253,739,3
3240,-7860,904,3
2880,-4674,867,3
3690,-5912,566,3
2380,-4116,652,3
3620,-7939,871,3
2660,-8145,759,3
2960,-8723,883,3
3290,-5245,801,3
3510,-4770,704,3
3180,-10331,890,3
555,-11032,582,3
328,-15350,408,3
470,-10013,598,3
2670,-4502,859,3
4020,-5518,416,3
2260,-5240,920,3
696,-8116,565,3
2340,-10262,695,3
2610,-9989,743,3
3000,-5105,658,3
3650,-13297,856,3
3540,-13570,913,3
2940,-5068,605,3
3520,-5058,634,3
2940,-4946,803,3
4930,-8715,565,3
1090,-8411,777,3
2860,-4053,477,3
3280,-11810,690,3
1930,-6465,484,3
3630,-5508,520,3
935,-3412,695,3
1110,-6737,461,3
891,-8360,774,3
2850,-8667,861,3
2470,-9369,797,3
3320,-9535,755,3
2990,-7928,773,3
438,-6699,804,3
541,-8619,914,3
1980,-5387,833,3
4400,-19112,970,3
423,-6807,751,3
304,-11051,384,3
1330,-4861,824,3
1930,-6323,850,3
3430,-7080,614,3
2050,-4646,770,3
2640,-5180,908,3
2370,-8534,903,3
3790,-6431,881,3
5400,-14163,713,3
3050,-6137,807,3
434,-2491,352,3
2750,-6775,849,3
1750,-13752,834,3
2200,-14901,835,3
5250,-7009,877,3
1760,-3053,833,3
2020,-3547,896,3
1210,-5616,584,3
1680,-7096,806,3
2650,-6841,528,3
1300,-4234,859,3
2530,-5197,508,3
500,-5817,824,3
382,-7040,749,3
1320,-6362,924,3
4450,-10479,849,3
471,-10880,700,3
2460,-6832,884,3
485,-6959,781,3
2080,-5004,770,3
1530,-8300,874,3
1950,-13725,781,3
4000,-5422,482,3
2400,-5921,876,3
2030,-12683,815,3
473,-6548,806,3
1780,-8685,570,3
3180,-6233,869,3
676,-10248,618,3
1100,-9781,773,3
3030,-6119,734,3
524,-8823,727,3
2080,-3695,883,3
2900,-4384,786,3
3620,-5061,801,3
2660,-9105,854,3
3910,-5602,879,3
461,-6291,753,3
1680,-2876,573,3
2990,-4982,765,3
1780,-6813,943,3
2380,-5644,828,3
2800,-9157,721,3
2950,-7337,821,3
1660,-9238,570,3
3350,-8109,827,3
1200,-5782,669,3
3540,-4624,520,3
1420,-10315,613,3
1030,-10196,928,3
2060,-10472,669,3
478,-4138,539,3
3920,-6295,856,3
1770,-5188,753,3
3970,-5277,713,3
2640,-5180,908,3
2630,-6732,901,3
486,-6819,633,3
2560,-9208,629,3
2790,-2902,836,3
3460,-4655,829,3
1580,-9707,795,3
785,-6071,657,3
5640,-9659,620,3
3340,-6433,867,3
1300,-6359,854,3
4060,-4309,833,3
3150,-8849,854,3
2500,-5768,476,3
2890,-8216,593,3
2690,-5946,843,3
2790,-8822,803,3
3170,-3112,907,3
2850,-3707,736,3
1370,-6159,854,3
2210,-8155,337,3
862,-10923,785,3
514,-7648,716,3
1660,-5293,731,3
1470,-8266,826,3
660,-9529,706,3
3540,-5566,565,3
1630,-5212,550,3
4330,-6080,634,3
2990,-8631,943,3
2400,-6587,747,3
4790,-9839,668,3
1180,-5851,582,3
4490,-6656,550,3
349,-7753,626,3
286,-6442,669,3
2140,-3563,773,3
2220,-8013,841,3
1520,-6682,610,3
1680,-2876,573,3
4330,-5763,693,3
760,-8501,687,3
2690,-5878,875,3
409,-6876,792,3
934,-6803,846,3
461,-7327,664,3
2890,-7913,815,3
861,-5033,514,3
2580,-2847,287,3
625,-6113,722,3
3040,-5429,364,3
2330,-6429,691,3
4070,-5885,839,3
3450,-14346,857,3
2460,-6874,774,3
8400,-18856,710,3
1500,-9929,748,3
2700,-7580,795,3
1020,-5810,847,3
1520,-3723,831,3
3530,-8482,561,3
4030,-8788,760,3
436,-6762,739,3
3050,-4914,805,3
1570,-10139,715,3
649,-6261,712,3
374,-8623,625,3
602,-8259,832,3
2910,-9964,652,3
1890,-10489,871,3
3530,-5550,885,3
2120,-9575,866,3
3180,-9313,788,3
829,-4475,814,3
1880,-4293,549,3
3450,-7961,593,3
2020,-4574,819,3
1380,-5701,902,3
691,-6834,966,3
890,-7778,560,3
3500,-7968,883,3
2990,-8631,943,3
1090,-3161,615,3
4970,-10288,579,3
3890,-8254,852,3
2560,-6855,943,3
3030,-6060,885,3
649,-6163,794,3
2990,-7439,720,3
2990,-3507,763,3
461,-6208,725,3
362,-5042,743,3
589,-9545,410,3
3110,-9295,887,3
8620,-17369,565,3
4800,-5542,860,3
3210,-4550,453,3
1890,-7593,773,3
2410,-4821,748,3
3780,-10588,831,3
3870,-1765,634,3
356,-7061,644,3
795,-6824,717,3
3080,-7080,734,3
2460,-8633,613,3
2780,-7832,748,3
562,-4226,720,3
2590,-7158,853,3
5120,-8640,871,3
778,-8864,878,3
3520,-11691,837,3
657,-6032,669,3
2490,-5891,859,3
2650,-6953,825,3
3110,-10289,820,3
4110,-8385,781,3
2200,-6343,666,3
2660,-8233,553,3
2860,-4053,477,3
3320,-7905,725,3
341,-6747,258,3
1660,-9238,570,3
2860,-6349,578,3
3970,-7686,912,3
3200,-5658,914,3
2140,-8317,779,3
4240,-6674,968,3
1840,-9924,659,3
1440,-7488,855,3
882,-8339,561,3
2760,-6207,564,3
1760,-8604,813,3
2240,-3965,928,3
1870,-10297,551,3
857,-3829,957,3
3420,-5712,890,3
2420,-5369,648,3
5300,-10013,542,3
5510,-12698,669,3
3300,-9943,626,3
1950,-7077,600,3
282,-4022,666,3
1600,-11982,742,3
1240,-6531,619,3
5590,-10073,827,3
3840,-8256,759,3
2240,-3965,928,3
2000,-9358,887,3
3920,-8683,889,3
2680,-6249,686,3
331,-5758,789,3
3030,-5141,735,3
3480,-5709,671,3
4300,-6645,758,3
3030,-4644,579,3
417,-7639,760,3
752,-7328,953,3
3780,-8619,774,3
6780,-25831,697,3
3050,-5348,753,3
1870,-6173,725,3
1190,-4010,655,3
2590,-4936,778,3
3240,-7860,904,3
2850,-7111,784,3
691,-2906,757,3
2000,-5428,898,3
772,-8810,759,3
4170,-7824,619,3
545,-5653,751,3
4430,-8024,831,3
1630,-5212,550,3
3990,-7587,858,3
2540,-9414,812,3
3380,-6180,850,3
598,-5528,682,3
459,-5537,580,3
3300,-6855,808,3
2280,-3938,741,3
2070,-5438,721,3
1300,-13497,863,3
2270,-2909,780,3
847,-11824,777,3
1840,-4711,845,3
2420,-7072,842,3
680,-7057,768,3
3160,-5364,738,3
1680,-2876,573,3
2460,-8633,613,3
3490,-4972,863,3
3750,-6351,874,3
4170,-9363,625,3
3490,-13819,947,3
1000,-7949,783,3
757,-13912,818,3
3980,-8298,494,3
2380,-6082,628,3
2280,-7744,775,3
978,-5324,746,3
3920,-7426,793,3
3110,-10289,820,3
5620,-6917,567,3
965,-5756,795,3
1630,-6091,880,3
432,-7592,854,3
1250,-7600,719,3
4130,-7075,938,3
3300,-5483,842,3
3710,-1404,415,3
296,-3825,696,3
1690,-3657,831,3
2980,-4132,779,3
459,-6167,759,3
1380,-5701,902,3
1170,-6393,322,3
485,-6959,781,3
671,-12929,726,3
2450,-3326,847,3
3280,-4192,754,3
1730,-6264,853,3
2810,-12644,863,3
2790,-7266,808,3
1110,-6522,725,3
4220,-11034,614,3
2770,-5405,835,3
1110,-5617,759,3
913,-6865,778,3
3490,-7307,849,3
2090,-8066,752,3
4070,-8093,554,3
2990,-3621,854,3
4370,-8687,959,3
932,-4555,777,3
3680,-5019,897,3
2250,-10516,727,3
2460,-8128,493,3
1430,-4949,855,3
3200,-9745,780,3
666,-8915,431,3
1170,-8891,898,3
4940,-11498,515,3
1050,-8479,849,3
3030,-7351,851,3
440,-5334,826,3
3070,-7366,881,3
2020,-4574,819,3
2560,-4092,924,3
2760,-6207,564,3
6190,-9229,582,3
3830,-7441,751,3
2130,-3280,870,3
437,-5451,526,3
1640,-10659,678,3
5130,-8906,924,3
3020,-9769,672,3
2570,-8694,418,3
4270,-11089,912,3
1140,-7444,880,3
3610,-6489,928,3
3520,-9496,791,3
2450,-8926,535,3
1630,-6091,880,3
2060,-6175,772,3
3980,-7977,663,3
2090,-9240,536,3
2620,-6235,517,3
1360,-7160,794,3
3440,-8455,552,3
675,-7584,776,3
3970,-7686,912,3
455,-10245,412,3
3920,-8683,889,3
4430,-2975,428,3
5280,-7115,707,3
4960,-6806,743,3
352,-4574,681,3
1400,-6307,880,3
2550,-6756,896,3
3180,-6233,869,3
2790,-5924,646,3
1850,-5873,934,3
3420,-4912,552,3
3400,-8425,874,3
408,-19157,715,3
400,-4078,644,3
820,-3193,882,3
990,-6840,807,3
1680,-2876,573,3
3990,-8289,389,3
2010,-9338,836,3
1070,-4243,908,3
5000,-8794,881,3
703,-5369,783,3
2660,-12029,799,3
760,-6769,871,3
2310,-6526,836,3
2430,-28807,721,3
3480,-5572,629,3
2740,-9428,836,3
3530,-8914,695,3
3350,-6533,279,3
3150,-4393,630,3
5590,-10073,827,3
2140,-8497,811,3
5080,-5893,731,3
3630,-4590,722,3
3920,-5732,733,3
2070,-12380,558,3
2370,-14728,881,3
2930,-7069,801,3
1530,-10884,874,3
3560,-3463,647,3
2120,-6063,883,3
375,-5631,776,3
1900,-5717,489,3
652,-14268,843,3
2060,-4768,937,3
311,-8756,138,3
383,-6866,551,3
1510,-6118,791,3
3480,-4013,543,3
7230,-23295,619,3
2610,-8078,716,3
2030,-5431,734,3
2480,-9282,863,3
2210,-7638,953,3
2740,-8938,784,3
2580,-9707,434,3
1620,-5992,706,3
2680,-4856,699,3
4060,-7388,732,3
786,-10638,860,3
481,-6392,821,3
2380,-4116,652,3
484,-9159,805,3
1050,-9332,552,3
3940,-10503,823,3
3400,-8425,874,3
2130,-5995,956,3
2860,-9448,726,3
3320,-4952,780,3
2030,-9053,897,3
2380,-7784,730,3
1560,-3905,932,3
2820,-6128,885,3
1060,-13140,709,3
3640,-5143,660,3
3090,-4707,934,3
1400,-8323,840,3
1530,-7858,617,3
2650,-4753,442,3
1060,-6110,948,3
3310,-9790,506,3
2850,-13207,796,3
760,-11721,544,3
4010,-10526,498,3
3200,-5591,715,3
1430,-5324,856,3
1540,-7077,782,3
3240,-4785,598,3
5020,-6995,957,3
3650,-3609,448,3
1330,-6156,709,3
3310,-9922,651,3
3150,-4321,542,3
1070,-4243,908,3
665,-7322,711,3
3720,-8740,700,3
279,-9989,530,3
5100,-7786,704,3
3590,-7427,880,3
2820,-5586,712,3
3260,-2990,727,3
2470,-3457,674,3
416,-7465,667,3
973,-6360,766,3
8510,-25174,718,3
2930,-10118,848,3
831,-4852,643,3
4320,-8466,773,3
3170,-7240,684,3
1310,-3728,712,3
2980,-5911,761,3
4870,-10162,888,3
3360,-7188,417,3
3210,-6921,735,3
671,-12929,726,3
3930,-8135,535,3
4940,-13087,941,3
4490,-6656,550,3
2670,-7167,751,3
1790,-13320,728,3
1850,-4574,394,3
1870,-10297,551,3
2960,-4572,820,3
3780,-8619,774,3
2580,-8710,586,3
1630,-7067,800,3
3780,-9992,581,3
2830,-7198,792,3
4300,-5181,697,3
599,-5102,522,3
3310,-9790,506,3
2120,-3879,974,3
1100,-9781,773,3
4490,-6656,550,3
3480,-6251,820,3
3540,-5566,565,3
1260,-7606,873,3
705,-8258,673,3
3420,-5712,890,3
4940,-11498,515,3
670,-7470,521,3
3820,-8199,703,3
506,-7720,664,3
4010,-6176,814,3
2520,-11715,654,3
3630,-4438,803,3
2790,-7849,640,3
2930,-7886,759,3
1870,-10297,551,3
2850,-8106,729,3
3110,-5735,921,3
8720,-19947,692,3
2230,-5399,727,3
1970,-8409,595,3
3630,-6191,928,3
924,-8564,736,3
9200,-17737,732,3
2040,-8396,818,3
595,-6222,748,3
3310,-9790,506,3
3240,-7453,725,3
2410,-7124,729,3
309,-2362,801,3
777,-10061,856,3
1020,-5810,847,3
2460,-6832,884,3
803,-5392,706,3
3260,-1584,487,3
2960,-6679,904,3
457,-5017,655,3
502,-4532,837,3
1630,-5891,779,3
2550,-6199,763,3
774,-1299,924,3
623,-5218,792,3
857,-3829,957,3
6190,-9229,582,3
1480,-7587,829,3
3720,-8633,766,3
4830,-9297,464,3
603,-8628,787,3
3270,-4036,760,3
2650,-6301,928,3
631,-5166,847,3
2870,-5160,571,3
833,-5867,790,3
533,-6326,697,3
1260,-4159,738,3
3040,-7677,802,3
2470,-4719,623,3
2110,-5237,594,3
469,-7291,819,3
2310,-5452,750,3
720,-6362,774,3
808,-7272,714,3
427,-9246,760,3
459,-6844,399,3
4020,-4560,510,3
2060,-10472,669,3
3740,-6812,853,3
2100,-7561,874,3
2960,-6920,501,3
3210,-5531,774,3
5080,-10164,737,3
364,-9156,660,3
2690,-6044,868,3
439,-7235,613,3
2640,-4616,686,3
3050,-8066,728,3
2050,-10106,947,3
3000,-10605,754,3
3490,-14590,813,3
1680,-2876,573,3
745,-6276,760,3
3020,-10407,886,3
1880,-4293,549,3
2280,-8006,940,3
2010,-3928,384,3
5950,-6804,547,3
797,-5560,719,3
1320,-3589,889,3
3050,-10209,820,3
4000,-8884,754,3
691,-8575,788,3
2450,-5183,814,3
5580,-6943,573,3
2040,-7117,954,3
3820,-8446,653,3
709,-9833,517,3
2470,-6477,802,3
3260,-5678,563,3
3920,-5067,479,3
5380,-4179,679,3
3250,-5517,384,3
1110,-3720,868,3
2780,-8636,674,3
1610,-4146,649,3
1130,-11090,807,3
3940,-13578,809,3
539,-7636,907,3
2660,-8000,813,3
2900,-11294,865,3
1730,-6264,853,3
410,-5226,805,3
2790,-7346,828,3
661,-5882,895,3
1520,-5488,791,3
2220,-8013,841,3
2800,-3439,901,3
770,-6539,830,3
1960,-6062,865,3
1530,-10798,493,3
4640,-6880,601,3
3660,-5993,660,3
2190,-12594,853,3
2870,-5160,571,3
3450,-7183,792,3
2170,-8216,488,3
3710,-5045,733,3
1160,-8449,930,3
515,-8540,713,3
2560,-6195,802,3
592,-6662,778,3
3030,-6932,706,3
3240,-6572,887,3
3920,-6791,642,3
1920,-7178,873,3
933,-10268,626,3
1080,-10070,880,3
1370,-7026,597,3
2420,-6862,789,3
6010,-11432,772,3
2820,-6257,758,3
1980,-5185,886,3
1670,-3931,884,3
2960,-3985,679,3
2650,-8409,813,3
2420,-7072,842,3
3420,-6512,829,3
3670,-7306,592,3
3790,-9050,913,3
3000,-5743,597,3
3020,-7392,642,3
2140,-6791,771,3
4010,-7943,723,3
5000,-4703,612,3
1500,-4879,723,3
740,-15364,463,3
1620,-7492,795,3
1530,-5735,753,3
3240,-8420,878,3
2690,-2832,918,3
301,-5046,420,3
3770,-4688,662,3
2570,-3129,847,3
1760,-5167,844,3
2790,-6122,581,3
3050,-9880,628,3
441,-7966,716,3
2260,-5240,920,3
2000,-9358,887,3
796,-7252,474,3
2020,-3547,896,3
3090,-11004,677,3
523,-8680,635,3
579,-5803,852,3
2710,-6886,759,3
3420,-5712,890,3
2860,-3901,706,3
1960,-6062,865,3
4130,-7158,755,3
3400,-5413,686,3
811,-7954,663,3
1560,-3905,932,3
4100,-6179,598,3
2770,-6833,929,3
1560,-13617,881,3
5590,-10073,827,3
319,-11961,384,3
5460,-10019,642,3
3100,-10747,826,3
1420,-7709,737,3
3210,-10292,915,3
337,-5177,652,3
1830,-3090,761,3
1130,-4747,542,3
1880,-5636,915,3
1020,-6958,790,3
1450,-8628,858,3
2460,-8633,613,3
820,-3193,882,3
1960,-6930,439,3
3530,-11375,897,3
3340,-6433,867,3
2650,-7805,803,3
2850,-6983,688,3
3300,-8496,792,3
2950,-6843,724,3
2050,-8356,813,3
293,-5393,797,3
2130,-5923,601,3
1020,-8002,702,3
492,-3974,692,3
1650,-6638,766,3
2870,-6164,790,3
2520,-8435,808,3
2320,-9816,813,3
2410,-6100,914,3
2840,-5757,731,3
2790,-8929,732,3
3750,-6303,723,3
4860,-5509,441,3
1640,-5743,760,3
2950,-6403,800,3
2550,-12970,797,3
1120,-7737,623,3
2950,-7684,689,3
1650,-5474,741,3
3150,-7226,923,3
310,-4508,827,3
829,-4475,814,3
3160,-6339,484,3
3170,-7240,684,3
535,-12765,444,3
3040,-8476,774,3
2290,-8861,901,3
1250,-7600,719,3
2780,-8636,674,3
2450,-8926,535,3
330,-9412,578,3
3420,-6297,752,3
922,-7978,854,3
2340,-13681,771,3
702,-7284,873,3
4120,-6327,588,3
3020,-6962,950,3
2420,-3661,799,3
3260,-3489,654,3
2720,-2340,640,3
2390,-8041,810,3
3230,-9911,847,3
2210,-5431,584,3
2930,-6205,597,3
471,-10880,700,3
1560,-6983,972,3
1530,-4454,858,3
2640,-5662,920,3
3380,-7100,450,3
965,-8260,569,3
1720,-16530,545,3
617,-13095,835,3
3380,-6611,668,3
5980,-3434,523,3
1640,-8894,824,3
852,-4999,519,3
3110,-10875,690,3
2960,-6920,501,3
1570,-5785,420,3
376,-3969,703,3
4030,-14659,803,3
2250,-6096,692,3
1380,-5701,902,3
1970,-4968,818,3
1110,-2231,883,3
3180,-7823,728,3
3620,-7689,651,3
3730,-7495,723,3
1360,-4120,840,3
1620,-5397,740,3
1310,-6122,891,3
1830,-3090,761,3
2600,-6768,817,3
617,-6976,301,3
1920,-7014,515,3
2750,-6004,624,3
1890,-4827,782,3
971,-7210,942,3
1720,-5973,773,3
1180,-12390,635,3
4140,-6166,563,3
2680,-4340,934,3
495,-4390,806,3
1610,-9572,647,3
2620,-10486,736,3
5300,-3120,540,3
1240,-6531,619,3
983,-8489,622,3
3970,-8061,475,3
4420,-4639,812,3
2210,-7638,953,3
3590,-13136,659,3
1110,-3720,868,3
2440,-6398,933,3
308,-6294,623,3
2640,-10144,817,3
2230,-4902,808,3
629,-7256,690,3
2040,-8774,875,3
2750,-6023,727,3
3480,-11952,911,3
3130,-5440,515,3
2730,-3423,887,3
2540,-5283,754,3
370,-5769,792,3
2420,-6900,838,3
