speechiness,loudness,danceability,target
6.7,-2.581,28,7
8.29,-6.394,76.5,7
8.32,-5.009,26.4,7
7.05,-3.957,53.7,7
4.11,-6.002,45.7,7
7.1,-4.842,59.9,7
3.09,-6.733,27.1,7
4.21,-3.171,47.3,7
12.3,-4.948,44.4,7
9.76,-4.767,63.3,7
2.94,-18.055,66.1,7
7.21,-11.679,53.3,7
3.61,-9.719,69.8,7
4.14,-8.478,45,7
4.89,-3.609,38.4,7
29.5,-6.562,74.7,7
3.14,-12.407,33,7
4.92,-3.565,56.9,7
5.22,-9.657,62.7,7
6.75,-8.489,69.3,7
3.53,-5.381,55.6,7
2.84,-5.205,50.2,7
4.99,-3.435,40,7
21.8,-2.119,72.8,7
9.23,-3.933,47,7
2.96,-14.745,72.3,7
3.16,-3.054,62.5,7
4.06,-3.092,58.4,7
15.2,-6.188,43.4,7
3.38,-4.708,59.9,7
4.27,-4.85,52,7
9.12,-5.862,36.7,7
3.61,-4.439,57.7,7
4.22,-6.069,28.4,7
2.58,-9.502,35,7
9.69,-9.942,46.5,7
3.11,-5.927,51.1,7
10.5,-4.541,43,7
4.2,-5.18,39.4,7
3.44,-4.065,54.1,7
14.3,-5.841,26,7
3.2,-5.881,73.1,7
15.7,-7.263,59.6,7
4.57,-3.978,65.1,7
2.93,-4.974,40.5,7
5.93,-4.671,57.8,7
15.4,-6.516,23.7,7
2.53,-13.333,62.3,7
4.23,-13.083,72.4,7
21.2,-12.239,29.4,7
7.33,-11.786,56.4,7
10.7,-5.542,21,7
9.45,-12.732,50.7,7
3.24,-10.748,41.5,7
4,-4.034,38.4,7
3.17,-7.224,34,7
6.5,-3.917,26.2,7
6.42,-5.037,47.1,7
4.33,-11.251,59.8,7
17.7,-5.855,43.9,7
2.97,-5.703,62.4,7
3.09,-8.559,56.9,7
10.7,-6.808,73,7
3.73,-13.578,44.1,7
3.28,-10.028,31.8,7
3.75,-7.292,31.7,7
2.54,-7.585,61.5,7
3.69,-13.553,54.7,7
3.56,-9.321,67.4,7
4.54,-7.299,59.1,7
10.4,-5.729,27.4,7
23.8,-3.967,40.4,7
3.31,-7.784,48.4,7
8.19,-4.338,47.9,7
3.74,-5.628,49.9,7
4.02,-11.195,35.9,7
3.41,-7.007,69.2,7
3.93,-10.003,39.8,7
26.9,-4.938,28.2,7
14.2,-3.018,50.8,7
10.9,-3.92,36.7,7
7.22,-3.239,22.4,7
4.09,-5.119,46.9,7
8.95,-4.872,57.3,7
6.65,-2.087,60,7
7.61,-6.506,39.4,7
3.45,-5.97,66.9,7
3.32,-7.999,38.9,7
14.9,-3.377,37.9,7
3.2,-7.48,57,7
8.6,-6.431,44.2,7
2.5,-8.907,57.1,7
2.72,-5.912,49,7
10.3,-5.681,62,7
5.7,-4.907,50.9,7
4.35,-5.892,45.5,7
3.91,-5.289,61,7
8.26,-5.393,50.7,7
10.1,-14.309,41.6,7
4.4,-9.175,61.2,7
5.16,-7.441,52.2,7
4.52,-7.327,21.5,7
4.03,-1.986,42,7
3.04,-6.736,63.8,7
5.12,-4.913,57.5,7
13.3,-4.793,57.4,7
7.56,-7.914,67.7,7
4.32,-10.446,29.7,7
4.27,-15.076,46.9,7
3.53,-9.687,37.9,7
5.08,-4.517,49.5,7
4.91,-4.405,48,7
3.6,-7.34,64.5,7
3.04,-15.474,56.2,7
12.6,-4.054,23.8,7
4.12,-12.255,62.3,7
30.4,-4.215,46.6,7
2.55,-14.575,50.1,7
5.52,-6.554,55.9,7
3.32,-3.682,49.6,7
6.76,-4.644,51.3,7
4.23,-6.48,50.3,7
6.37,-4.991,37.4,7
4.07,-9.925,51,7
3.57,-6.388,48.4,7
15.5,-5.083,55.5,7
25.8,-6.766,44.4,7
3.06,-6.285,54.8,7
3.54,-6.416,40.3,7
3.86,-8.138,40.2,7
3.27,-4.132,50.3,7
14.9,-4.314,38.9,7
3.14,-15.763,58.1,7
8.61,-12.774,77.4,7
7.54,-5.27,53.3,7
6.31,-5.425,49.9,7
2.5,-9.165,52.9,7
5.02,-4.87,55.2,7
2.72,-4.849,58.8,7
8.35,-5.319,19.2,7
47.3,-2.318,25.2,7
2.46,-11.135,62.9,7
9.59,-3.873,52.2,7
3.99,-2.625,67.5,7
3.41,-7.182,50.3,7
3.64,-7.318,54.8,7
4.14,-1.69,39.3,7
4.97,-6.481,69.6,7
5.19,-3.878,59.7,7
21.1,-3.175,46.2,7
6.13,-5.773,69.4,7
5.68,-8.786,30.1,7
5.7,-4.907,50.9,7
7.61,-2.869,62.3,7
2.92,-12.329,61.7,7
14.4,-4.46,26.1,7
5.66,-6.342,42.4,7
3.23,-2.572,41.2,7
3.4,-5.963,30.6,7
8.4,-6.246,42.7,7
6.62,-4.173,45.7,7
10.2,-3.541,47.5,7
10.4,-8.58,53.2,7
2.75,-7.497,50.2,7
5.31,-7.361,33.3,7
3.31,-9.897,76.7,7
29,-3.378,27.4,7
3.74,-7.516,64,7
11.7,-3.173,32.5,7
4.74,-15.925,38.2,7
2.56,-7.547,59,7
2.67,-6.977,61.2,7
2.66,-8.033,55.6,7
3.68,-6.116,25.3,7
4.63,-5.638,33.2,7
4.48,-19.068,58.8,7
2.92,-10.946,65.9,7
3.85,-3.374,39.2,7
10.6,-9.793,26.8,7
17.1,-2.855,26.6,7
4.84,-5.066,58.7,7
2.93,-7.424,51.3,7
2.91,-9.316,29.4,7
5.66,-11.231,83,7
11.4,-2.481,25.1,7
7.34,-5.572,53.4,7
3.69,-8.793,39.2,7
4.36,-13.126,45.1,7
4.09,-11.717,51.2,7
8.32,-8.937,48.3,7
3.94,-8.928,31.9,7
5.77,-5.578,39.7,7
3.24,-5.787,41.3,7
2.96,-10.059,38.4,7
7.49,-6.194,86.5,7
9.53,-4.244,51.6,7
5.75,-4.367,49.8,7
8.15,-4.522,48.6,7
2.63,-11.218,55.3,7
12.8,-7.853,29.7,7
3.17,-4.492,57.7,7
7.01,-5.387,40.4,7
5.79,-3.445,35.7,7
21.3,-6.927,91.4,7
3.39,-8.957,30.7,7
2.86,-5.708,54.5,7
2.81,-7.227,42.9,7
5.86,-4.831,17.2,7
6.68,-9.069,52.2,7
7.09,-6.562,38.1,7
6.87,-7.179,51.3,7
7.57,-4.765,45,7
3.78,-5.576,47.1,7
3.6,-4.419,50,7
3.21,-5.611,44.2,7
4.37,-5.451,52.6,7
6.8,-7.837,35.6,7
4.36,-4.161,47.5,7
2.9,-13.167,76.5,7
4.28,-10.944,69.2,7
3.07,-10.422,36.7,7
3.85,-11.821,42.7,7
3.76,-6.946,56.9,7
5.28,-10.456,48.2,7
4.21,-12.472,55.6,7
2.46,-4.786,64.3,7
6.05,-5.166,54.7,7
6,-4.365,43.1,7
2.66,-6.042,57.2,7
8.75,-4.13,30.8,7
