645,-5104,414,921,1250000,7
476,-9919,666,936,244000,7
431,-5025,535,716,32600000,7
808,-3463,500,981,79100,7
563,-3989,487,885,487000,7
343,-12768,515,766,2490000,7
2170,-3686,377,976,10700,7
796,-7839,551,860,26200000,7
405,-5763,596,727,481000,7
411,-6443,480,792,238000,7
444,-3175,614,910,956000,7
600,-4251,454,882,122000,7
417,-9200,679,513,18400000,7
870,-3349,419,967,53700000,7
527,-3612,467,904,1730000,7
251,-7978,608,642,17000000,7
483,-6606,373,676,18000000,7
1280,-3600,570,891,478000,7
452,-5136,475,922,738000,7
398,-9765,683,616,79800000,7
349,-3160,295,754,4650000,7
313,-5624,457,902,2.17E+03,7
413,-7442,451,931,7760000,7
940,-5575,580,843,321000,7
815,-4163,615,798,1880000,7
626,-5719,459,677,3730000,7
605,-4237,486,940,919000,7
310,-3831,494,874,1.74E+03,7
339,-12453,346,335,57500000,7
343,-8933,376,557,1680000,7
653,-4888,730,758,14700000,7
453,-7565,355,791,45000,7
765,-9284,591,563,211000,7
564,-6926,728,878,17600000,7
608,-3321,493,943,67900,7
431,-9066,407,682,215000,7
281,-4999,631,525,47700000,7
678,-7458,463,867,48700000,7
420,-5731,401,815,13900,7
375,-8076,609,536,37200000,7
403,-8101,566,686,9.78E+03,7
931,-8604,532,889,31900000,7
446,-5194,663,835,390000,7
298,-4848,686,729,17500000,7
533,-4542,308,873,22000,7
303,-10991,730,487,25800000,7
931,-3661,639,914,226000,7
269,-5094,452,654,623000,7
383,-3917,529,755,10600000,7
412,-4612,320,909,1.62E+03,7
385,-6791,562,809,2760000,7
664,-5500,156,849,9.78E+03,7
636,-4314,315,826,64000,7
342,-7069,432,642,17700000,7
886,-11224,539,811,6160000,7
396,-3227,539,788,890000,7
367,-5091,529,868,53100000,7
413,-6217,514,784,41300000,7
412,-12255,623,622,168000,7
384,-5050,291,599,17100,7
476,-3190,455,812,829000,7
450,-4521,557,902,28200,7
308,-8138,412,608,21900000,7
455,-6465,300,807,125000,7
619,-6094,584,804,96800,7
315,-10736,415,363,69400000,7
280,-5298,424,830,30700,7
252,-12358,547,257,90700000,7
294,-7206,537,818,398000,7
556,-7409,654,530,11300,7
303,-7841,182,451,24900000,7
375,-8578,699,467,68500000,7
822,-8697,698,460,74100000,7
345,-7996,500,470,64200000,7
362,-5847,575,854,25200,7
918,-5414,185,900,12500,7
510,-7393,462,900,158000,7
318,-7353,526,679,65800,7
282,-5635,747,875,733000,7
251,-5289,442,689,458000,7
1760,-2905,507,973,2.10E+03,7
1450,-7051,537,791,12200000,7
998,-5906,654,929,4680000,7
618,-8474,372,939,1980000,7
896,-10845,336,796,361000,7
549,-5251,340,753,1110000,7
249,-9152,485,792,119000,7
274,-7816,674,413,83600000,7
576,-7737,665,834,21000000,7
525,-3680,301,887,237000,7
264,-9047,621,619,3490000,7
636,-4314,315,826,64000,7
261,-11026,498,280,95500000,7
304,-8240,614,777,494000,7
1020,-5097,864,690,861000,7
340,-10183,676,609,75300000,7
521,-4054,517,848,581000,7
461,-5195,607,831,9.12E+03,7
314,-4963,544,507,560000,7
396,-13126,435,671,2060000,7
440,-5966,545,651,79200,7
318,-15886,422,208,89600000,7
2320,-3172,348,987,1.62E+03,7
1330,-10390,615,616,3990000,7
337,-6347,633,846,81900,7
743,-4590,409,816,384000,7
328,-5798,560,801,30700,7
469,-5719,373,812,28600,7
439,-10365,731,489,56400000,7
348,-9796,820,452,54300000,7
686,-10216,664,726,51800000,7
634,-7776,619,808,3010000,7
330,-5541,388,720,20200000,7
735,-3677,517,906,272000,7
751,-8069,447,954,2350000,7
354,-6224,507,960,9.36E+03,7
922,-6476,562,865,2.06E+03,7
853,-4845,478,971,98700,7
278,-11097,414,428,38200000,7
932,-1205,377,991,81000,7
330,-5456,851,794,36200000,7
299,-8363,544,574,2170000,7
975,-5005,542,923,1100000,7
363,-4716,669,819,11000000,7
501,-3311,758,896,17300000,7
326,-4657,481,845,44700,7
574,-6449,524,937,32400000,7
400,-11018,643,364,71500000,7
888,-8850,298,677,416000,7
296,-6918,460,816,23400000,7
1660,-4254,687,793,6030000,7
697,-4284,374,971,7.69E+03,7
622,-3706,373,871,115000,7
394,-10468,702,206,83500000,7
479,-8559,522,901,53500000,7
1030,-7574,373,755,411000,7
295,-14255,525,366,5850000,7
264,-10797,537,391,84200000,7
655,-8903,485,652,75700000,7
260,-8253,544,500,3250000,7
459,-4400,612,884,516000,7
2100,-3874,198,964,24500,7
1590,-5142,686,840,6010000,7
936,-5416,402,927,6.37E+03,7
359,-7836,645,623,56600000,7
257,-3256,503,727,4870000,7
267,-11357,430,560,24500000,7
458,-10932,629,781,2970000,7
328,-8520,334,584,83400000,7
2140,-6491,357,766,1040000,7
335,-6536,566,711,61100000,7
1750,-7016,555,740,5550000,7
324,-16319,533,478,66200000,7
316,-9342,389,476,61900000,7
481,-5729,178,830,143000,7
285,-7832,544,639,3990000,7
389,-3802,882,678,27400000,7
434,-8449,541,668,3.57E+03,7
304,-5091,495,809,2080000,7
622,-4448,475,844,12000,7
572,-9176,547,523,72400000,7
353,-10322,619,670,165000,7
1420,-7366,352,873,2530000,7
430,-10613,653,730,1140000,7
351,-11476,478,419,78700000,7
719,-2848,511,849,24200,7
706,-7833,756,730,13300000,7
929,-5399,405,943,7.95E+03,7
833,-3123,500,949,847000,7
546,-4884,561,703,602000,7
584,-5870,556,864,958000,7
1040,-4119,382,996,208000,7
322,-5311,469,867,2.49E+02,7
353,-15002,409,231,45100000,7
302,-7844,475,432,18300000,7
755,-12133,273,485,8030000,7
526,-4731,407,914,328000,7
307,-7880,353,546,25500000,7
341,-3991,432,886,9.20E+03,7
384,-6031,354,549,71500000,7
482,-5513,529,847,24400000,7
1080,-2469,575,959,19200,7
406,-5988,688,779,2210000,7
661,-4395,232,946,1220000,7
501,-3904,439,902,895000,7
1270,-2371,462,981,166000,7
1410,-4545,662,934,7670000,7
439,-6354,578,883,12300,7
284,-9272,561,337,64400000,7
965,-5319,245,970,121000,7
542,-3037,582,962,960000,7
336,-12633,372,247,89600000,7
357,-4816,796,715,430000,7
426,-4572,543,696,60100000,7
346,-13552,409,377,62200000,7
357,-14281,286,500,13400000,7
352,-11360,164,594,228000,7
300,-7022,510,520,4350000,7
657,-2108,530,967,50700,7
376,-3923,369,948,14100000,7
469,-3570,390,899,26700,7
670,-2581,280,921,8.00E+03,7
829,-6394,765,657,1750000,7
832,-5009,264,966,9400000,7
705,-3957,537,968,66800,7
411,-6002,457,870,454000,7
710,-4842,599,901,76600,7
309,-6733,271,624,3010000,7
421,-3171,473,792,10300,7
1230,-4948,444,926,4440000,7
976,-4767,633,925,1700000,7
294,-18055,661,300,68800000,7
721,-11679,533,924,185000,7
361,-9719,698,608,18600000,7
414,-8478,450,712,1100000,7
489,-3609,384,921,1250000,7
2950,-6562,747,573,26800000,7
314,-12407,330,461,15400000,7
492,-3565,569,987,50600,7
522,-9657,627,700,12100000,7
675,-8489,693,514,972000,7
353,-5381,556,839,4550000,7
284,-5205,502,883,13600,7
499,-3435,400,856,1610000,7
2180,-2119,728,888,828000,7
923,-3933,470,892,3.28E+03,7
296,-14745,723,490,11100000,7
316,-3054,625,928,9.86E+03,7
406,-3092,584,810,1880000,7
1520,-6188,434,974,12700,7
338,-4708,599,787,2.07E+03,7
427,-4850,520,619,59100000,7
912,-5862,367,811,1.29E+03,7
361,-4439,577,940,2.42E+03,7
422,-6069,284,875,752000,7
258,-9502,350,293,75800000,7
969,-9942,465,889,11100000,7
311,-5927,511,724,82600,7
1050,-4541,430,954,26100000,7
420,-5180,394,833,863000,7
344,-4065,541,831,352000,7
1430,-5841,260,929,34300000,7
320,-5881,731,867,3950000,7
1570,-7263,596,873,6560000,7
457,-3978,651,933,2030000,7
293,-4974,405,643,372000,7
593,-4671,578,894,158000,7
1540,-6516,237,962,77400,7
