speechiness,loudness,danceability,energy,,target,
328,-5798,560,801,,7,801000
469,-5719,373,812,,7,812000
439,-10365,731,489,,7,489000
348,-9796,820,452,,7,452000
686,-10216,664,726,,7,726000
634,-7776,619,808,,7,808000
330,-5541,388,720,,7,720000
735,-3677,517,906,,7,906000
751,-8069,447,954,,7,954000
354,-6224,507,960,,7,960000
922,-6476,562,865,,7,865000
853,-4845,478,971,,7,971000
278,-11097,414,428,,7,428000
932,-1205,377,991,,7,991000
330,-5456,851,794,,7,794000
299,-8363,544,574,,7,574000
975,-5005,542,923,,7,923000
363,-4716,669,819,,7,819000
501,-3311,758,896,,7,896000
326,-4657,481,845,,7,845000
574,-6449,524,937,,7,937000
400,-11018,643,364,,7,364000
888,-8850,298,677,,7,677000
296,-6918,460,816,,7,816000
1660,-4254,687,793,,7,793000
697,-4284,374,971,,7,971000
622,-3706,373,871,,7,871000
394,-10468,702,206,,7,206000
479,-8559,522,901,,7,901000
1030,-7574,373,755,,7,755000
295,-14255,525,366,,7,366000
264,-10797,537,391,,7,391000
655,-8903,485,652,,7,652000
260,-8253,544,500,,7,500000
459,-4400,612,884,,7,884000
2100,-3874,198,964,,7,964000
1590,-5142,686,840,,7,840000
936,-5416,402,927,,7,927000
359,-7836,645,623,,7,623000
257,-3256,503,727,,7,727000
267,-11357,430,560,,7,560000
458,-10932,629,781,,7,781000
328,-8520,334,584,,7,584000
2140,-6491,357,766,,7,766000
335,-6536,566,711,,7,711000
1750,-7016,555,740,,7,740000
324,-16319,533,478,,7,478000
316,-9342,389,476,,7,476000
481,-5729,178,830,,7,830000
285,-7832,544,639,,7,639000
389,-3802,882,678,,7,678000
434,-8449,541,668,,7,668000
304,-5091,495,809,,7,809000
622,-4448,475,844,,7,844000
572,-9176,547,523,,7,523000
353,-10322,619,670,,7,670000
1420,-7366,352,873,,7,873000
430,-10613,653,730,,7,730000
351,-11476,478,419,,7,419000
719,-2848,511,849,,7,849000
706,-7833,756,730,,7,730000
929,-5399,405,943,,7,943000
833,-3123,500,949,,7,949000
546,-4884,561,703,,7,703000
584,-5870,556,864,,7,864000
1040,-4119,382,996,,7,996000
322,-5311,469,867,,7,867000
353,-15002,409,231,,7,231000
302,-7844,475,432,,7,432000
755,-12133,273,485,,7,485000
526,-4731,407,914,,7,914000
307,-7880,353,546,,7,546000
341,-3991,432,886,,7,886000
384,-6031,354,549,,7,549000
482,-5513,529,847,,7,847000
1080,-2469,575,959,,7,959000
406,-5988,688,779,,7,779000
661,-4395,232,946,,7,946000
501,-3904,439,902,,7,902000
1270,-2371,462,981,,7,981000
1410,-4545,662,934,,7,934000
439,-6354,578,883,,7,883000
284,-9272,561,337,,7,337000
965,-5319,245,970,,7,970000
542,-3037,582,962,,7,962000
336,-12633,372,247,,7,247000
357,-4816,796,715,,7,715000
426,-4572,543,696,,7,696000
346,-13552,409,377,,7,377000
357,-14281,286,500,,7,500000
352,-11360,164,594,,7,594000
300,-7022,510,520,,7,520000
657,-2108,530,967,,7,967000
376,-3923,369,948,,7,948000
469,-3570,390,899,,7,899000
670,-2581,280,921,,7,921000
829,-6394,765,657,,7,657000
832,-5009,264,966,,7,966000
705,-3957,537,968,,7,968000
411,-6002,457,870,,7,870000
710,-4842,599,901,,7,901000
309,-6733,271,624,,7,624000
421,-3171,473,792,,7,792000
1230,-4948,444,926,,7,926000
976,-4767,633,925,,7,925000
294,-18055,661,300,,7,300000
721,-11679,533,924,,7,924000
361,-9719,698,608,,7,608000
414,-8478,450,712,,7,712000
489,-3609,384,921,,7,921000
2950,-6562,747,573,,7,573000
314,-12407,330,461,,7,461000
492,-3565,569,987,,7,987000
522,-9657,627,700,,7,700000
675,-8489,693,514,,7,514000
353,-5381,556,839,,7,839000
284,-5205,502,883,,7,883000
499,-3435,400,856,,7,856000
2180,-2119,728,888,,7,888000
923,-3933,470,892,,7,892000
296,-14745,723,490,,7,490000
316,-3054,625,928,,7,928000
406,-3092,584,810,,7,810000
1520,-6188,434,974,,7,974000
338,-4708,599,787,,7,787000
427,-4850,520,619,,7,619000
912,-5862,367,811,,7,811000
361,-4439,577,940,,7,940000
422,-6069,284,875,,7,875000
258,-9502,350,293,,7,293000
969,-9942,465,889,,7,889000
311,-5927,511,724,,7,724000
1050,-4541,430,954,,7,954000
420,-5180,394,833,,7,833000
344,-4065,541,831,,7,831000
1430,-5841,260,929,,7,929000
320,-5881,731,867,,7,867000
1570,-7263,596,873,,7,873000
457,-3978,651,933,,7,933000
293,-4974,405,643,,7,643000
593,-4671,578,894,,7,894000
1540,-6516,237,962,,7,962000
253,-13333,623,449,,7,449000
423,-13083,724,498,,7,498000
2120,-12239,294,923,,7,923000
733,-11786,564,804,,7,804000
1070,-5542,210,948,,7,948000
945,-12732,507,763,,7,763000
324,-10748,415,633,,7,633000
400,-4034,384,871,,7,871000
317,-7224,340,597,,7,597000
650,-3917,262,951,,7,951000
642,-5037,471,802,,7,802000
433,-11251,598,675,,7,675000
1770,-5855,439,971,,7,971000
297,-5703,624,910,,7,910000
309,-8559,569,789,,7,789000
1070,-6808,730,631,,7,631000
373,-13578,441,350,,7,350000
328,-10028,318,405,,7,405000
375,-7292,317,887,,7,887000
254,-7585,615,563,,7,563000
369,-13553,547,691,,7,691000
356,-9321,674,649,,7,649000
454,-7299,591,804,,7,804000
1040,-5729,274,947,,7,947000
2380,-3967,404,920,,7,920000
331,-7784,484,711,,7,711000
819,-4338,479,844,,7,844000
374,-5628,499,794,,7,794000
402,-11195,359,699,,7,699000
341,-7007,692,488,,7,488000
393,-10003,398,664,,7,664000
2690,-4938,282,939,,7,939000
1420,-3018,508,929,,7,929000
1090,-3920,367,877,,7,877000
722,-3239,224,905,,7,905000
409,-5119,469,759,,7,759000
895,-4872,573,946,,7,946000
665,-2087,600,915,,7,915000
761,-6506,394,944,,7,944000
345,-5970,669,517,,7,517000
