speechiness,loudness,danceability,target
327,-11569,594,1
422,-10435,140,1
347,-6219,699,1
511,-6198,443,1
439,-3886,679,1
502,-4870,552,1
386,-7079,323,1
537,-2427,264,1
392,-5559,372,1
5150,-11965,619,1
1740,-11856,518,1
369,-9556,472,1
617,-7338,562,1
692,-5959,432,1
713,-7839,521,1
368,-5505,381,1
310,-7495,441,1
514,-3470,594,1
352,-6619,496,1
482,-6475,616,1
375,-24389,90.6,1
525,-4489,551,1
539,-9618,780,1
624,-6237,438,1
494,-7853,431,1
495,-7378,634,1
1080,-3578,587,1
278,-6390,484,1
767,-6038,414,1
432,-8924,360,1
847,-10180,810,1
2900,-3378,274,1
321,-7445,606,1
473,-16375,278,1
621,-5122,495,1
309,-9240,623,1
2660,-8001,801,1
388,-10294,653,1
540,-5653,542,1
320,-7064,363,1
1710,-2855,266,1
370,-6828,520,1
815,-10024,705,1
2490,-4953,823,1
1650,-6383,818,1
347,-13743,729,1
1130,-9210,836,1
381,-2776,463,1
436,-10133,667,1
719,-4174,381,1
303,-7968,631,1
304,-15474,562,1
642,-4506,339,1
459,-7227,835,1
3720,-10936,531,1
1320,-4838,468,1
446,-5578,741,1
569,-8552,787,1
415,-7289,679,1
423,-4698,446,1
644,-3994,516,1
378,-5576,471,1
339,-8281,479,1
293,-4807,649,1
1800,-8907,812,1
954,-8270,523,1
315,-8354,693,1
489,-6025,531,1
563,-5201,390,1
515,-7349,415,1
421,-5590,240,1
1500,-5464,589,1
576,-8932,871,1
338,-4777,464,1
533,-4138,457,1
738,-2696,326,1
1170,-7627,565,1
1260,-5801,465,1
279,-9728,290,1
397,-6010,633,1
393,-5059,467,1
544,-28958,514,1
308,-9110,316,1
271,-8279,546,1
345,-5131,797,1
630,-3125,558,1
436,-18526,85.5,1
396,-8257,430,1
277,-11221,456,1
426,-6073,724,1
858,-5845,547,1
272,-12503,551,1
407,-9760,502,1
1490,-4314,389,1
284,-3192,510,1
353,-3789,410,1
406,-5639,506,1
405,-6105,380,1
