3.68,-9.118,81.5,605,3300000,1,,,
4.13,-7.057,51.1,698,9580000,1,,,
4.95,-5.628,74.4,928,40900,1,,,
3.25,-12.437,52.3,760,10300000,1,,,
4.15,-4.57,47.2,925,30500,1,,,
5.12,-4.913,57.5,936,12800,1,,,
3.23,-7.479,58.4,590,53300000,1,,,
3.17,-6.261,72.4,603,18300000,1,,,
15.7,-3.382,40.6,961,17700,1,,,
5.61,-9.361,53.3,739,299000,1,,,
4.71,-8.871,45.5,841,1350000,1,,,
3.35,-7.813,23.7,658,13600000,1,,,
6.72,-6.345,22.4,889,1160000,1,,,
9.1,-6.865,52.9,743,378000,1,,,
6.15,-5.765,53.6,845,330000,1,,,
37.8,-6.509,44.7,544,46600000,1,,,
4.6,-13.283,71.6,330,19300000,1,,,
7.77,-3.752,25.2,872,912000,1,,,
8.23,-10.323,60.5,555,35700000,1,,,
6.01,-11.548,89.9,763,26200000,1,,,
3.46,-6.667,46.2,840,5050,1,,,
3.69,-12.814,15,211,79200000,1,,,
4.23,-9.172,44.7,568,47300000,1,,,
3.62,-7.113,37.5,661,2290,1,,,
3.65,-19.74,25.2,147,91100000,1,,,
6.54,-11.948,34.5,811,6060000,1,,,
2.99,-9.064,43.1,451,85800000,1,,,
4.91,-3.267,39.8,920,311000,1,,,
2.84,-9.848,56,399,12800000,1,,,
3.11,-4.551,59.5,696,4920000,1,,,
5.29,-21.903,27.7,45.6,98400000,1,,,
3.1,-12.442,58.9,274,30200000,1,,,
4,-11.265,83.3,716,53300000,1,,,
9.46,-6.855,18,915,2240000,1,,,
15.9,-5.407,51.3,956,381000,1,,,
4.5,-9.412,54,746,13000000,1,,,
9.21,-5.962,70.5,862,8840000,1,,,
15.9,-7.85,66.4,503,37700000,1,,,
5.22,-4.609,32.4,948,885,1,,,
5.96,-3.913,50.6,832,154000,1,,,
4.04,-5.19,66.9,932,7610000,1,,,
4.38,-6.135,60.4,808,1260000,1,,,
2.74,-11.1,51.5,491,86900000,1,,,
3.24,-12.034,65.2,515,23900000,1,,,
5,-7.348,66.4,535,46500000,1,,,
3.63,-6.074,43.5,510,16400000,1,,,
42.4,-7.438,67.7,772,30300000,1,,,
7.73,-5.593,55.2,898,7360000,1,,,
2.78,-9.068,56.6,663,9450000,1,,,
20,-10.452,87.5,630,76100000,1,,,
15.9,-5.407,51.3,956,381000,1,,,
2.98,-9.647,56.7,666,2440000,1,,,
3.58,-10.025,72.4,610,41300000,1,,,
4.03,-10.011,76.6,806,12400000,1,,,
3.74,-9.67,28.6,907,27700,1,,,
4.83,-8.334,82.5,569,6170000,1,,,
2.87,-8.684,55,765,476,1,,,
8.79,-5.14,27.5,933,6860,1,,,
4.27,-21.361,70.9,239,94600000,1,,,
3.81,-11.002,63.4,614,40400000,1,,,
4.05,-24.21,19.5,83.2,67300000,1,,,
4.02,-2.553,54.2,872,4950000,1,,,
4.27,-5.009,77.4,714,388000,1,,,
5.28,-2.945,35.9,802,687000,1,,,
4.19,-6.886,59.9,742,4880000,1,,,
3.31,-9.897,76.7,787,1630000,1,,,
3.57,-7.866,54.5,823,624000,1,,,
5.65,-6.406,80.1,637,16900000,1,,,
3.03,-7.066,56.8,829,21800000,1,,,
3.96,-8.97,54.5,365,13600000,1,,,
5.67,-9.387,48.8,775,4350000,1,,,
4.91,-5.436,71.7,577,70800000,1,,,
3.17,-6.261,72.4,603,18300000,1,,,
3.43,-10.196,47,913,6590,1,,,
24.3,-6.211,35.6,899,755000,1,,,
6.45,-4.818,76.1,797,12300000,1,,,
3.8,-19.867,30,194,94900000,1,,,
14.6,-4.33,28.9,841,582000,1,,,
12.8,-3.646,61.6,824,658000,1,,,
6.78,-9.31,68.8,737,7690000,1,,,
2.74,-5.815,65.3,875,976000,1,,,
4.94,-15.561,68.3,470,2680000,1,,,
4.13,-8.118,61.5,829,18100000,1,,,
8.6,-12.9,74.7,571,48000000,1,,,
4.17,-7.612,53.6,704,9320000,1,,,
21.9,-3.929,54.1,882,15800000,1,,,
4.51,-8.739,56.7,631,21600000,1,,,
3.05,-6.644,71.3,868,206000,1,,,
2.66,-9.083,59,608,20700000,1,,,
6.1,-4.881,16.7,921,14100,1,,,
6.09,-4.091,55.3,828,11000000,1,,,
3.18,-18.496,35.1,129,81900000,1,,,
2.4,-7.943,57.7,464,9790000,1,,,
3.8,-4.405,75.8,779,71700,1,,,
3.91,-7.748,46.6,763,5420000,1,,,
6.84,-5.994,49.3,711,496000,1,,,
2.85,-6.086,59.2,800,2250000,1,,,
2.91,-9.051,67.8,612,79300000,1,,,
3.36,-7.805,57.4,691,1420000,1,,,
6.63,-9.576,50.5,255,83100000,1,,,
3.19,-5.457,50.5,928,19300,1,,,
28.7,-9.144,53.5,605,51000000,1,,,
3.5,-14.665,10.6,116,93300000,1,,,
7.35,-8.007,40.3,614,118000,1,,,
7.55,-5.209,54.3,927,34200,1,,,
14.8,-5.434,42.8,938,1440000,1,,,
21.7,-3.686,37.7,976,10700,1,,,
5.48,-7.287,59.3,756,4540000,1,,,
3.12,-8.106,28,406,50700000,1,,,
15.5,-11.812,86.6,480,20600000,1,,,
4.92,-11.177,41.5,720,48100000,1,,,
4.22,-10.435,14,641,24300,1,,,
9.43,-6.237,57.2,747,13000000,1,,,
4.19,-29.161,41,12.3,99300000,1,,,
4.31,-18.188,7.65,52.1,82600000,1,,,
15.9,-5.407,51.3,956,381000,1,,,
6.97,-5.634,48.7,797,9370,1,,,
2.68,-10.322,64,486,56800000,1,,,
3.43,-9.965,22.6,585,12800000,1,,,
5.41,-9.103,39.3,649,69000000,1,,,
4.61,-6.745,41.5,782,110000,1,,,
3.15,-23.738,28.4,79.1,96700000,1,,,
2.99,-6.188,59.7,655,473000,1,,,
3.74,-7.516,64,663,20100000,1,,,
43.9,-10.473,77.7,693,24600000,1,,,
2.62,-4.797,61.8,662,280000,1,,,
5.45,-5.373,59.8,853,13200000,1,,,
5.81,-9.548,79.3,703,72600,1,,,
3.76,-12.045,47.8,366,40000000,1,,,
8.36,-4.851,49.7,970,9040,1,,,
3.9,-6.821,74,606,4970000,1,,,
2.94,-9.199,48.7,570,20400000,1,,,
6.55,-6.237,41,823,5540000,1,,,
